ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PhoD_ASV77,0.002713117,0.003106323,0,0.001612142,0.001533501,0.003027682,0.001140296,0.00145486,0.001376219,0.001494181,0.001572822,0.001100975
PhoD_ASV180,0.001494181,0.004482542,0.002752438,0.001140296,0.002319912,0.002831079,0.002083989,0.000471846,0.000983014,0.002123309,0.00145486,0.000943693
PhoD_ASV132,0.002123309,0.001297578,0.001218937,0.001651463,0.002044668,0.002241271,0.00145486,0.001769424,0.002398553,0.001730104,0.001297578,0.002319912
PhoD_ASV146,0.001376219,0.001533501,0.001848065,0.00145486,0.002319912,0.002005348,0.001769424,0.001179616,0.001612142,0.002477194,0.001887386,0.001336898
PhoD_ASV284,0.001140296,0.001808745,0.002241271,0.001572822,0.002083989,0.001808745,0.002516515,0.001022334,0.001140296,0.002044668,0.00220195,0.002044668
PhoD_ASV94,0.002437874,0.001966027,0.001061655,0.001297578,0.001218937,0.001769424,0.001612142,0.00070777,0.001336898,0.001887386,0.001258257,0.002241271
PhoD_ASV155,0.001258257,0.002988361,0.002870399,0.001769424,0.00145486,0.001572822,0.001415539,0.001612142,0.000904372,0.001218937,0.00216263,0.001218937
PhoD_ASV208,0.001179616,0.001808745,0.001494181,0.000786411,0.001966027,0.003224284,0.001651463,0.002870399,0.002005348,0.000983014,0.001730104,0.001100975
PhoD_ASV120,0.001730104,0.001258257,0.002319912,0.000904372,0.002044668,0.002359232,0.001651463,0.001730104,0.001612142,0.000865052,0.001572822,0.001022334
PhoD_ASV344,0.000786411,0.001533501,0.001730104,0.003067002,0.001572822,0.001140296,0.001572822,0.001494181,0.001297578,0.002005348,0.002044668,0.002437874
PhoD_ASV136,0.001612142,0.000904372,0.001415539,0.002280591,0.001572822,0.001966027,0.001651463,0.002752438,0.001690783,0.002241271,0.000904372,0.000983014
PhoD_ASV140,0.001651463,0.001690783,0,0.00216263,0,0.001848065,0.002831079,0.00216263,0,0.003538849,0.002870399,0.000983014
PhoD_ASV614,0.000432526,0.001258257,0.001612142,0.006841774,0,0.00802139,0,0.000825731,0.001297578,0.001258257,0.000511167,0
PhoD_ASV324,0.000825731,0.001100975,0,0.001218937,0.00074709,0.001612142,0.001651463,0.002398553,0.002398553,0.003381567,0.003302925,0.001572822
PhoD_ASV141,0.001336898,0.001258257,0.001572822,0.001533501,0.001887386,0.002123309,0.001808745,0.001533501,0.001690783,0.001769424,0.001926707,0.000629129
PhoD_ASV2373,0,0.003460208,0.003932054,0.004050016,0,0.003814092,0.004443221,0,0,0,0,0.002634476
PhoD_ASV127,0.002005348,0.002044668,0.002123309,0.001494181,0.000786411,0.002044668,0.001494181,0.001494181,0.001494181,0.001494181,0.001336898,0.001690783
PhoD_ASV379,0.000471846,0.000825731,0.000589808,0.000786411,0.001022334,0.000393205,0.00070777,0.003892734,0.003184964,0.00220195,0.003538849,0.001926707
PhoD_ASV107,0.002083989,0.002398553,0,0,0.005740799,0,0,0,0.003735451,0,0.002949041,0
PhoD_ASV237,0.001297578,0.003538849,0.001297578,0,0,0,0.002673797,0.001808745,0.002005348,0.002752438,0.001336898,0.002359232
PhoD_ASV213,0.001179616,0.001376219,0.001022334,0.00361749,0.002634476,0.001297578,0.000825731,0.001494181,0.001376219,0.00070777,0.000393205,0.003263605
PhoD_ASV137,0.001769424,0.002713117,0.001533501,0.001926707,0.001533501,0.001651463,0.001494181,0.000786411,0.000983014,0.001218937,0.001808745,0.000825731
PhoD_ASV143,0.001769424,0.00070777,0.002241271,0.001533501,0.00220195,0.001926707,0.001100975,0.001572822,0.001179616,0.001140296,0.001258257,0.001612142
PhoD_ASV189,0.001179616,0.001848065,0,0.001533501,0.001179616,0,0.001769424,0.002752438,0.001966027,0.001730104,0.002477194,0.00145486
PhoD_ASV212,0.001415539,0.000668449,0.001494181,0.001769424,0.001494181,0.001887386,0.001376219,0.001808745,0.001533501,0.001494181,0.001336898,0.001769424
PhoD_ASV172,0.001415539,0.001769424,0.001808745,0.001966027,0.001297578,0.002123309,0.001769424,0.000825731,0.000904372,0.001297578,0.001258257,0.001100975
PhoD_ASV117,0.001887386,0.001218937,0.001179616,0,0.002634476,0.002083989,0.001376219,0.002870399,0.001612142,0.001022334,0,0.001061655
PhoD_ASV234,0.001336898,0.001218937,0.001376219,0.002241271,0.00145486,0.003224284,0.000786411,0.001218937,0.002044668,0.001218937,0.001769424,0.001297578
PhoD_ASV125,0.001690783,0.00145486,0,0.000943693,0.001100975,0.001572822,0.002595156,0.00145486,0.001179616,0.002123309,0.001887386,0.000786411
PhoD_ASV164,0.001218937,0.003814092,0.001730104,0.001494181,0.002044668,0,0.001100975,0.001336898,0.002044668,0.001258257,0.00145486,0
PhoD_ASV163,0.00145486,0.001769424,0.00145486,0.001179616,0.001022334,0.001376219,0.001572822,0.001336898,0.00220195,0.001100975,0.001494181,0.001218937
PhoD_ASV259,0.001140296,0.002555835,0.001966027,0,0,0.00290972,0.001061655,0.002083989,0.002241271,0.000550488,0.001179616,0.002398553
PhoD_ASV98,0.002083989,0.000786411,0.001533501,0.001690783,0.002005348,0,0.000629129,0.001140296,0.00220195,0.001415539,0.000825731,0.001061655
PhoD_ASV311,0.000786411,0.003067002,0.000589808,0.002123309,0.002359232,0.001336898,0.000825731,0,0.001612142,0.00070777,0.000983014,0.002870399
PhoD_ASV167,0.001730104,0.001651463,0,0.000786411,0.001258257,0.001376219,0.001730104,0.001336898,0.003027682,0.002280591,0.000904372,0.000943693
PhoD_ASV222,0.001022334,0.000629129,0.002280591,0.001022334,0.001336898,0.001218937,0.00074709,0.001022334,0.001415539,0.001336898,0.002123309,0.001808745
PhoD_ASV437,0.000511167,0.001533501,0.001297578,0.001258257,0.001887386,0.00220195,0.00145486,0.001061655,0.001690783,0.001494181,0.002005348,0.001336898
PhoD_ASV346,0.00070777,0.001808745,0.00220195,0.001808745,0,0.001258257,0.001690783,0.001769424,0.001218937,0.001022334,0.002123309,0.001336898
PhoD_ASV262,0.001022334,0.001966027,0.001140296,0.001651463,0.001808745,0.000550488,0.001336898,0.001533501,0.000550488,0.002044668,0.001730104,0.001140296
PhoD_ASV373,0.00074709,0.001100975,0.001297578,0.001336898,0.001336898,0.002595156,0.001651463,0.001690783,0.00074709,0.001572822,0.001297578,0.001179616
PhoD_ASV124,0.001612142,0.000943693,0.001336898,0.00290972,0.001533501,0.000904372,0.000275244,0.001218937,0.000668449,0.000393205,0.000275244,0.001494181
PhoD_ASV174,0.001572822,0.001848065,0.001690783,0.000629129,0.000353885,0.001218937,0.001258257,0.001061655,0.00145486,0.002280591,0.000786411,0.001061655
PhoD_ASV91,0.003224284,0.000550488,0.001336898,0.000983014,0.00074709,0.000393205,0.00074709,0.000550488,0.000983014,0.000865052,0.001612142,0.000943693
PhoD_ASV264,0.001297578,0.001415539,0.001336898,0.00070777,0.001022334,0.001848065,0.001848065,0.001218937,0.002280591,0.00145486,0.000983014,0.000432526
PhoD_ASV214,0.001297578,0.000668449,0.00074709,0.001533501,0.00070777,0,0.002359232,0.001258257,0.000943693,0.001966027,0.001926707,0.000983014
PhoD_ASV299,0.00070777,0.000983014,0.000983014,0.001218937,0,0.001651463,0.001258257,0.001769424,0.001730104,0.00145486,0.001022334,0.001848065
PhoD_ASV109,0.001926707,0.002280591,0,0,0,0.001179616,0.001100975,0.001022334,0.001179616,0.001140296,0.001769424,0.000825731
