source	target	weight	correlation
ASV2330	ASV2261	1	1
ASV2330	ASV2361	1	1
ASV2330	ASV2320	1	1
ASV2330	ASV2299	1	1
ASV2330	ASV2293	1	1
ASV2330	ASV2306	1	1
ASV2330	ASV2308	1	1
ASV2330	ASV2257	1	1
ASV2330	ASV2269	1	1
ASV2330	ASV2321	1	1
ASV2330	ASV2273	1	1
ASV2330	ASV2304	1	1
ASV2330	ASV2312	1	1
ASV2330	ASV2309	1	1
ASV2330	ASV2348	1	1
ASV2330	ASV2284	1	1
ASV2330	ASV2351	1	1
ASV2330	ASV1711	1	1
ASV2330	ASV2259	1	1
ASV2330	ASV2301	1	1
