"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV280",0,0.000572984,0.001862197,0,0,0,0.000405864,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__unclassified_f__Cercomonadidae","s__unclassified_f__Cercomonadidae"
"ASV1842",0,0,0.003724395,0,0,0,0.000620732,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV1881",0,0,0.001862197,0,0,0,0.000310366,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cercomonas","s__Cercomonas_longicauda"
"ASV441",0.00143246,0.003581149,0,0.001575705,0.000859476,0,0.001241465,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__Neoheteromita_sp."
"ASV2266",0,0,0,0,0,0.002721673,0.000453612,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_sp."
"ASV2629",0.001002722,0,0,0.001002722,0,0,0.000334241,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_ramosa"
"ASV1155",0,0,0,0,0.001289214,0,0.000214869,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Thaumatomonadida","f__Thaumatomonadidae","g__Thaumatomonas","s__unclassified_g__Thaumatomonas"
"ASV438",0.001575705,0.000572984,0.001718951,0.000286492,0.001002722,0.00071623,0.000978847,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__unclassified_g__Paracercomonas"
"ASV1535",0.000572984,0.000859476,0,0.001145968,0.001002722,0,0.000596858,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__Haptoria_X","g__Haptoria_XX","s__Haptoria_XX_sp."
"ASV1851",0,0,0.000572984,0,0,0.001002722,0.000262618,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cercomonadidae_X","s__Cercomonadidae_X_sp."
"ASV32",0.013751612,0.006446068,0.007878527,0.012605644,0.008165019,0.020770663,0.011602922,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV156",0.001575705,0.006589314,0.004727116,0.0053001,0.004154133,0.005873084,0.004703242,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV2977",0,0,0,0.001002722,0,0,0.00016712,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
