	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12	Abundance	Type	phylum	class	order	family	genus	species
ASV1502	0	0.00143246	0	0	0	0	0.000238743	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa
ASV3817	0	0	0	0	0	0.000286492	4.77487E-05	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta
ASV1676	0	0.000143246	0	0	0	0	2.38743E-05	Pro	p__Lobosa	c__Tubulinea	o__Leptomyxida	f__Flabellulidae	g__Paraflabellula	s__unclassified_g__Paraflabellula
ASV2343	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Thalassomyxa-lineage	g__Thalassomyxa-lineage_X	s__Thalassomyxa-lineage_X_sp.
ASV310	0	0.002148689	0.000572984	0.002291935	0.000572984	0.001002722	0.001098219	Pro	p__Mesomycetozoa	c__Ichthyosporea	o__Ichthyosphonida	f__Pseudoperkinsidae	g__unclassified_f__Pseudoperkinsidae	s__unclassified_f__Pseudoperkinsidae
ASV329	0.00071623	0.001145968	0	0	0	0	0.000310366	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Glissomonadida_X	g__Glissomonadida_XX	s__Glissomonadida_XX_sp.
ASV808	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.
ASV3637	0	0	0	0	0	0.002578427	0.000429738	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Glissomonadida_X	g__Glissomonadida_XX	s__Glissomonadida_XX_sp.
ASV1193	0.000429738	0	0.000859476	0	0	0	0.000214869	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.
ASV1402	0	0.001862197	0	0	0.002291935	0	0.000692355	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__unclassified_o__Glissomonadida	g__unclassified_o__Glissomonadida	s__unclassified_o__Glissomonadida
ASV3250	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Lobosa-G1	o__Lobosa-G1_X	f__Lobosa-G1_XX	g__Lobosa-G1_XXX	s__Lobosa-G1_XXX_sp.
ASV911	0.002864919	0.002578427	0	0	0.008451511	0	0.00231581	Pro	p__Cercozoa	c__Filosa-Imbricatea	o__Euglyphida	f__Euglyphida_X	g__Euglyphida_XX	s__Euglyphida_XX_sp.
ASV4012	0	0	0.000859476	0	0	0	0.000143246	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__unclassified_g__Neoheteromita
ASV1367	0	0.003437903	0.004727116	0.002864919	0.003294657	0	0.002387433	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Sandona	s__Sandona_sp.
ASV3743	0	0	0	0	0	0.000859476	0.000143246	Pro	p__Choanoflagellida	c__Choanoflagellatea	o__Craspedida	f__Salpingoecidae_Group_C1	g__unclassified_f__Salpingoecidae_Group_C1	s__unclassified_f__Salpingoecidae_Group_C1
ASV2034	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__unclassified_f__Sandonidae	s__unclassified_f__Sandonidae
ASV1584	0	0.000429738	0	0	0	0	7.1623E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__unclassified_g__Neoheteromita
ASV919	0.00143246	0	0	0.002005443	0.002291935	0.000859476	0.001098219	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_caudratti
ASV3579	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonas	s__Cercomonas_edax
ASV2567	0.003437903	0	0	0	0	0	0.000572984	Pro	p__Ciliophora	c__Litostomatea	o__Haptoria	f__Spathidiidae	g__Spathidium	s__unclassified_g__Spathidium
ASV2458	0	0	0	0	0	0	0	Pro	p__Apicomplexa	c__Apicomplexa_X	o__Coccidia	f__Eucoccidiorida	g__Cryptosporidium	s__Cryptosporidium_struthionis
ASV977	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__unclassified_f__Sandonidae	s__unclassified_f__Sandonidae
ASV4025	0	0	0.000286492	0	0	0	4.77487E-05	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Cryomonadida	f__unclassified_o__Cryomonadida	g__unclassified_o__Cryomonadida	s__unclassified_o__Cryomonadida
ASV3468	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.
ASV1637	0	0.000286492	0	0	0	0	4.77487E-05	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.
ASV3839	0	0	0	0	0	0.000143246	2.38743E-05	Pro	p__Eukaryota_XX	c__Eukaryota_XXX	o__Eukaryota_XXXX	f__Eukaryota_XXXXX	g__Eukaryota_XXXXXX	s__Eukaryota_XXXXXX_sp.
ASV3292	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__unclassified_g__Neoheteromita
ASV499	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Allapsidae	g__unclassified_f__Allapsidae	s__unclassified_f__Allapsidae
ASV3224	0	0	0	0.000143246	0	0	2.38743E-05	Pro	p__Lobosa	c__Tubulinea	o__Leptomyxida	f__Leptomyxidae	g__unclassified_f__Leptomyxidae	s__unclassified_f__Leptomyxidae
ASV4135	0	0	0.000286492	0	0	0	4.77487E-05	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.
ASV4493	0	0	0	0	0.000143246	0	2.38743E-05	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta
